Age,BusinessTravel,MonthlyIncome,JobSatisfaction,Bonus,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobLevel,JobRole,MaritalStatus,PerformanceRating,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,OverTime,Attrition
40,Travel_Rarely,6380,3,19140,Sales,22,2,Marketing,1,492,3,Male,2,Sales Executive,Married,3,2,6,3,6,1,Yes,Yes
31,Travel_Rarely,2657,2,7971,Research & Development,9,4,Life Sciences,1,493,3,Male,1,Research Scientist,Single,3,0,5,3,2,2,Yes,No
21,Travel_Rarely,2716,2,8148,Sales,12,3,Life Sciences,1,494,3,Female,1,Sales Representative,Single,3,0,0,3,1,0,No,Yes
29,Travel_Rarely,2201,4,6603,Research & Development,23,3,Life Sciences,1,495,4,Male,1,Research Scientist,Single,3,0,4,3,3,1,No,No
35,Travel_Rarely,6540,2,19620,Research & Development,9,4,Life Sciences,1,496,3,Male,2,Healthcare Representative,Single,3,0,5,3,1,0,No,No
27,Travel_Rarely,3816,2,11448,Research & Development,1,2,Medical,1,497,4,Male,1,Laboratory Technician,Divorced,3,1,2,3,5,0,No,No
28,Travel_Rarely,5253,4,15759,Sales,9,4,Life Sciences,1,498,2,Male,2,Sales Executive,Single,3,0,1,3,7,0,No,No
49,Travel_Rarely,10965,3,43860,Research & Development,7,3,Other,1,499,2,Male,3,Healthcare Representative,Single,4,0,2,3,5,0,No,No
51,Travel_Rarely,4936,4,14808,Sales,14,2,Life Sciences,1,500,3,Female,2,Sales Executive,Married,3,1,2,2,7,0,No,No
36,Travel_Rarely,2543,3,7629,Research & Development,2,3,Life Sciences,1,501,4,Female,1,Research Scientist,Married,3,1,3,3,2,2,No,No
34,Non-Travel,5304,4,15912,Sales,19,3,Marketing,1,502,1,Male,2,Sales Executive,Single,3,0,3,2,5,0,Yes,Yes
55,Travel_Rarely,16659,4,49977,Research & Development,2,3,Life Sciences,1,505,3,Female,4,Manager,Single,3,0,2,3,5,1,Yes,No
24,Travel_Rarely,4260,3,12780,Sales,10,4,Marketing,1,507,4,Female,2,Sales Executive,Divorced,3,1,2,4,5,0,Yes,No
30,Travel_Rarely,2476,2,7428,Sales,2,1,Technical Degree,1,508,3,Male,1,Sales Representative,Married,3,1,3,3,1,0,No,No
26,Travel_Frequently,3102,1,12408,Research & Development,3,1,Technical Degree,1,510,3,Male,1,Research Scientist,Single,4,0,2,3,6,0,No,Yes
22,Travel_Rarely,2244,2,6732,Research & Development,11,3,Medical,1,511,1,Female,1,Research Scientist,Married,3,1,1,3,2,1,No,No
36,Travel_Rarely,7596,3,22788,Sales,2,2,Medical,1,513,2,Male,3,Sales Executive,Married,3,2,2,3,10,9,No,No
30,Travel_Frequently,2285,4,9140,Research & Development,4,3,Technical Degree,1,514,3,Male,1,Research Scientist,Single,4,0,4,3,1,0,Yes,Yes
37,Travel_Rarely,3034,1,9102,Research & Development,14,3,Life Sciences,1,515,4,Female,1,Laboratory Technician,Divorced,3,1,2,2,18,12,No,No
40,Travel_Rarely,5715,2,17145,Sales,2,2,Marketing,1,516,4,Female,2,Sales Executive,Divorced,3,2,5,3,5,1,No,No
42,Travel_Rarely,2576,1,7728,Research & Development,1,4,Life Sciences,1,517,2,Female,1,Laboratory Technician,Divorced,3,1,5,3,5,1,No,No
37,Travel_Rarely,4197,2,12591,Research & Development,10,4,Life Sciences,1,518,3,Male,2,Manufacturing Director,Single,3,0,2,2,1,0,Yes,No
43,Travel_Rarely,14336,2,43008,Research & Development,12,3,Life Sciences,1,520,1,Male,4,Research Director,Divorced,3,1,3,3,25,3,No,No
40,Travel_Rarely,3448,3,13792,Research & Development,2,3,Medical,1,521,2,Female,2,Laboratory Technician,Married,4,1,3,3,1,0,No,No
54,Travel_Rarely,19406,1,58218,Research & Development,5,2,Medical,1,522,1,Male,5,Research Director,Married,3,1,4,2,4,1,No,No
34,Non-Travel,6538,3,19614,Sales,4,4,Marketing,1,523,3,Female,2,Sales Executive,Married,3,1,3,3,3,1,No,No
31,Travel_Rarely,4306,1,12918,Research & Development,7,2,Medical,1,524,2,Female,2,Manufacturing Director,Married,3,1,5,1,13,3,No,No
43,Travel_Frequently,2258,4,9032,Research & Development,21,3,Medical,1,525,4,Male,1,Laboratory Technician,Married,4,1,1,3,3,1,No,No
43,Travel_Rarely,4522,3,13566,Research & Development,8,4,Other,1,526,3,Female,2,Healthcare Representative,Divorced,3,0,3,3,5,0,Yes,No
25,Travel_Rarely,4487,4,13461,Sales,4,2,Life Sciences,1,527,2,Female,2,Sales Executive,Single,3,0,3,3,5,1,Yes,No
37,Non-Travel,4449,3,13347,Research & Development,25,5,Medical,1,529,2,Female,2,Research Scientist,Married,3,2,2,3,13,10,Yes,No
31,Travel_Rarely,2218,1,6654,Research & Development,1,2,Life Sciences,1,530,4,Male,1,Laboratory Technician,Married,3,1,3,3,4,3,No,No
39,Travel_Frequently,19197,3,57591,Research & Development,1,1,Life Sciences,1,531,2,Male,5,Manager,Divorced,3,1,3,3,21,1,Yes,No
56,Travel_Frequently,13212,1,39636,Sales,6,3,Life Sciences,1,532,3,Female,4,Sales Executive,Married,3,3,0,2,7,7,No,No
30,Travel_Rarely,6577,3,19731,Sales,12,3,Technical Degree,1,533,2,Female,2,Sales Executive,Single,3,0,6,3,5,4,No,No
41,Travel_Rarely,8392,1,25176,Sales,1,3,Marketing,1,534,2,Male,3,Sales Executive,Married,3,1,2,3,10,0,No,No
28,Travel_Rarely,4558,1,13674,Research & Development,17,2,Medical,1,536,3,Male,2,Laboratory Technician,Divorced,3,1,2,3,10,1,No,No
25,Travel_Rarely,4031,1,12093,Research & Development,3,3,Medical,1,538,1,Male,1,Laboratory Technician,Married,3,1,5,3,2,0,No,Yes
52,Travel_Rarely,7969,3,23907,Research & Development,3,3,Medical,1,543,4,Male,3,Manufacturing Director,Married,3,0,4,3,5,0,Yes,No
45,Travel_Rarely,2654,4,10616,Research & Development,10,2,Life Sciences,1,544,1,Male,1,Research Scientist,Married,4,2,3,2,2,0,No,No
52,Travel_Rarely,16555,4,49665,Research & Development,4,2,Life Sciences,1,546,4,Female,4,Manager,Married,3,0,2,1,5,1,No,No
42,Travel_Frequently,4556,3,13668,Research & Development,29,2,Life Sciences,1,547,1,Female,2,Research Scientist,Divorced,3,1,3,3,5,0,No,No
30,Travel_Rarely,6091,4,24364,Research & Development,2,3,Life Sciences,1,548,3,Female,2,Manufacturing Director,Single,4,0,2,3,5,0,No,No
60,Travel_Rarely,19566,1,58698,Research & Development,7,3,Life Sciences,1,549,1,Female,5,Manager,Married,3,0,5,1,29,11,No,No
46,Travel_Rarely,4810,3,14430,Research & Development,18,3,Medical,1,550,3,Female,2,Manufacturing Director,Divorced,3,1,5,2,10,0,No,No
42,Travel_Frequently,4523,4,13569,Research & Development,28,4,Technical Degree,1,551,4,Female,2,Healthcare Representative,Married,3,3,4,4,6,0,No,No
24,Travel_Rarely,3202,2,9606,Sales,1,1,Technical Degree,1,554,1,Female,1,Sales Representative,Single,3,0,4,3,5,1,Yes,Yes
34,Travel_Frequently,2351,3,7053,Sales,6,2,Marketing,1,555,4,Female,1,Sales Representative,Divorced,3,1,3,2,2,1,No,Yes
38,Travel_Frequently,1702,4,6808,Research & Development,2,2,Life Sciences,1,556,4,Male,1,Laboratory Technician,Married,4,1,3,3,1,0,Yes,No
40,Travel_Rarely,18041,3,54123,Sales,2,4,Life Sciences,1,558,3,Female,5,Manager,Married,3,0,2,3,20,1,No,No
26,Travel_Rarely,2886,4,11544,Research & Development,23,3,Life Sciences,1,560,1,Female,1,Research Scientist,Divorced,4,2,3,1,3,0,No,No
30,Non-Travel,2097,4,6291,Research & Development,3,3,Life Sciences,1,562,3,Male,1,Laboratory Technician,Married,3,1,3,1,5,1,No,No
29,Travel_Rarely,11935,3,35805,Research & Development,3,4,Medical,1,564,2,Male,3,Research Director,Married,3,0,2,3,10,0,No,No
29,Travel_Rarely,2546,2,7638,Research & Development,25,5,Technical Degree,1,565,3,Female,1,Research Scientist,Married,3,0,2,4,2,1,No,Yes
19,Travel_Rarely,2564,4,7692,Human Resources,2,2,Technical Degree,1,566,1,Male,1,Human Resources,Single,3,0,3,4,1,0,No,Yes
30,Non-Travel,8412,1,25236,Sales,22,4,Other,1,567,3,Female,3,Sales Executive,Married,3,0,3,3,9,7,No,No
57,Travel_Rarely,14118,4,42354,Sales,29,3,Marketing,1,568,1,Male,4,Manager,Divorced,3,1,3,2,1,0,No,No
50,Travel_Rarely,17046,3,51138,Research & Development,29,4,Life Sciences,1,569,2,Male,4,Manager,Married,3,1,2,3,27,15,No,No
30,Non-Travel,2564,4,7692,Research & Development,2,3,Medical,1,571,3,Female,1,Laboratory Technician,Single,3,0,2,2,11,6,No,No
60,Travel_Frequently,10266,1,30798,Sales,28,3,Marketing,1,573,3,Female,3,Sales Executive,Married,3,0,5,4,18,13,No,No
47,Travel_Rarely,5070,4,15210,Research & Development,2,2,Medical,1,574,1,Female,2,Manufacturing Director,Divorced,3,3,2,3,5,0,No,No
46,Travel_Rarely,17861,3,53583,Research & Development,2,3,Life Sciences,1,575,1,Male,4,Research Director,Married,3,0,2,1,3,0,No,No
35,Travel_Rarely,4230,3,12690,Research & Development,22,3,Life Sciences,1,577,4,Male,1,Laboratory Technician,Single,3,0,2,3,5,4,No,No
54,Travel_Rarely,3780,3,11340,Research & Development,8,4,Life Sciences,1,578,3,Female,2,Laboratory Technician,Single,3,0,3,3,1,0,No,No
34,Travel_Rarely,2768,3,8304,Research & Development,2,4,Life Sciences,1,579,4,Male,1,Research Scientist,Divorced,3,1,3,3,7,5,No,No
46,Travel_Rarely,9071,4,27213,Sales,10,3,Marketing,1,580,3,Female,3,Sales Executive,Married,3,1,3,3,3,1,Yes,No
31,Travel_Rarely,10648,2,42592,Research & Development,9,1,Life Sciences,1,581,3,Male,3,Manufacturing Director,Divorced,4,1,6,4,13,0,No,No
33,Travel_Rarely,13610,3,40830,Research & Development,15,1,Medical,1,582,2,Male,3,Manager,Married,3,0,2,4,7,7,Yes,Yes
33,Travel_Rarely,3408,4,10224,Research & Development,10,1,Medical,1,584,1,Male,1,Laboratory Technician,Divorced,3,3,2,3,4,1,No,Yes
30,Travel_Rarely,2983,2,8949,Sales,7,1,Marketing,1,585,4,Male,1,Sales Representative,Single,3,0,3,3,3,1,No,No
35,Travel_Rarely,7632,3,22896,Research & Development,16,3,Life Sciences,1,586,4,Male,3,Healthcare Representative,Married,3,0,2,3,8,0,Yes,No
31,Travel_Frequently,9824,3,29472,Research & Development,20,3,Life Sciences,1,587,1,Male,3,Healthcare Representative,Married,3,0,2,3,1,0,No,Yes
34,Travel_Frequently,9950,1,29850,Human Resources,23,3,Human Resources,1,590,2,Female,3,Human Resources,Divorced,3,3,2,3,3,0,Yes,Yes
42,Travel_Frequently,2093,3,6279,Research & Development,5,2,Other,1,591,2,Male,1,Laboratory Technician,Married,3,1,4,3,2,2,No,No
36,Non-Travel,9980,4,29940,Sales,10,4,Medical,1,592,2,Male,3,Sales Executive,Single,3,0,3,2,10,9,No,No
22,Travel_Frequently,3894,3,11682,Research & Development,4,1,Technical Degree,1,593,3,Male,1,Laboratory Technician,Single,3,0,3,3,2,1,No,Yes
48,Travel_Rarely,4051,4,12153,Sales,2,5,Marketing,1,595,2,Female,2,Sales Executive,Married,3,1,2,3,9,6,No,No
55,Travel_Rarely,16835,2,67340,Sales,18,5,Life Sciences,1,597,1,Female,4,Manager,Single,4,0,2,3,10,7,No,No
41,Non-Travel,6230,4,18690,Sales,10,2,Life Sciences,1,599,4,Male,2,Sales Executive,Single,3,0,3,3,14,1,No,No
35,Travel_Rarely,4717,3,14151,Sales,1,3,Marketing,1,600,2,Male,2,Sales Executive,Married,3,0,2,3,11,6,No,No
40,Travel_Rarely,13237,3,39711,Research & Development,6,3,Life Sciences,1,601,2,Female,4,Manufacturing Director,Single,3,0,3,3,20,5,No,No
39,Travel_Frequently,3755,3,11265,Research & Development,8,1,Life Sciences,1,602,3,Female,1,Laboratory Technician,Married,3,1,3,3,8,0,No,No
31,Travel_Rarely,6582,4,19746,Sales,2,1,Life Sciences,1,604,2,Male,2,Sales Executive,Single,3,0,2,4,6,0,Yes,No
42,Travel_Rarely,7406,1,29624,Research & Development,24,3,Medical,1,605,4,Male,3,Manufacturing Director,Married,4,1,5,2,10,5,Yes,No
45,Travel_Rarely,4805,2,14415,Sales,2,3,Other,1,606,4,Male,2,Sales Executive,Married,3,1,3,4,8,3,No,No
26,Travel_Frequently,2741,3,8223,Human Resources,17,4,Life Sciences,1,608,2,Female,1,Human Resources,Divorced,3,1,2,2,7,1,Yes,Yes
29,Travel_Rarely,4262,4,12786,Research & Development,19,3,Technical Degree,1,611,4,Male,2,Manufacturing Director,Divorced,3,2,2,4,3,1,No,No
33,Travel_Rarely,16184,3,48552,Research & Development,1,5,Medical,1,612,1,Female,4,Research Director,Divorced,3,1,2,3,6,0,No,No
31,Travel_Rarely,11557,4,46228,Sales,7,3,Life Sciences,1,613,3,Male,3,Manager,Divorced,4,1,3,2,5,0,No,No
18,Travel_Frequently,1878,2,5634,Sales,5,3,Marketing,1,614,2,Male,1,Sales Representative,Single,3,0,3,3,0,0,Yes,Yes
40,Non-Travel,10932,1,32796,Sales,28,3,Other,1,615,3,Male,3,Sales Executive,Divorced,3,1,2,3,1,0,No,No
41,Non-Travel,6811,3,20433,Research & Development,2,4,Other,1,616,1,Female,2,Healthcare Representative,Single,3,0,3,3,8,0,Yes,No
26,Travel_Rarely,4306,3,12918,Sales,29,2,Medical,1,618,1,Male,2,Sales Executive,Divorced,3,2,5,3,0,0,No,No
35,Travel_Rarely,4859,3,14577,Sales,1,3,Medical,1,620,1,Female,2,Sales Executive,Single,3,0,3,3,5,0,No,No
34,Travel_Rarely,5337,4,16011,Sales,21,4,Life Sciences,1,621,4,Male,2,Sales Executive,Single,3,0,3,3,10,5,No,No
26,Travel_Rarely,2340,4,7020,Research & Development,24,3,Technical Degree,1,622,3,Male,1,Laboratory Technician,Single,3,0,3,1,1,0,Yes,Yes
37,Travel_Rarely,7491,4,22473,Research & Development,1,3,Technical Degree,1,623,2,Female,3,Manufacturing Director,Single,3,0,3,4,6,1,No,No
46,Travel_Frequently,10527,3,31581,Research & Development,18,1,Medical,1,624,1,Female,3,Healthcare Representative,Married,3,0,3,2,2,1,No,No
41,Travel_Rarely,16595,1,49785,Sales,2,5,Life Sciences,1,625,2,Female,4,Manager,Married,3,1,2,3,18,11,No,No
37,Non-Travel,8834,2,26502,Sales,9,4,Medical,1,626,1,Male,3,Sales Executive,Divorced,3,1,6,3,9,7,No,No
52,Travel_Rarely,5577,1,16731,Research & Development,6,2,Technical Degree,1,630,4,Male,2,Research Scientist,Divorced,3,2,3,3,10,6,Yes,No
32,Non-Travel,4707,3,14121,Sales,11,4,Other,1,631,4,Male,2,Sales Executive,Married,3,0,2,3,4,1,No,Yes
24,Travel_Frequently,2400,4,7200,Sales,24,3,Medical,1,632,4,Male,1,Sales Representative,Married,3,2,3,3,2,2,No,No
38,Travel_Rarely,9824,3,29472,Research & Development,10,3,Medical,1,634,3,Female,2,Healthcare Representative,Married,3,1,4,3,1,0,No,No
37,Travel_Rarely,6447,2,19341,Research & Development,1,4,Life Sciences,1,635,2,Female,2,Manufacturing Director,Married,3,1,2,2,6,4,No,No
49,Travel_Rarely,19502,3,58506,Research & Development,18,4,Life Sciences,1,638,4,Male,5,Research Director,Divorced,3,1,5,3,31,0,Yes,No
24,Travel_Rarely,2725,4,8175,Research & Development,23,3,Medical,1,639,2,Male,1,Research Scientist,Married,3,2,3,3,6,1,Yes,No
26,Travel_Rarely,6272,2,25088,Sales,28,2,Marketing,1,641,1,Male,2,Sales Executive,Married,4,2,5,4,5,1,No,No
24,Travel_Rarely,2127,2,8508,Research & Development,17,2,Other,1,643,4,Male,1,Laboratory Technician,Married,4,1,2,3,1,0,No,No
50,Travel_Frequently,18200,2,54600,Human Resources,3,3,Medical,1,644,1,Male,5,Manager,Married,3,1,2,3,32,10,No,No
25,Travel_Rarely,2096,3,6288,Sales,13,1,Medical,1,645,2,Male,1,Sales Representative,Married,3,0,1,3,7,0,No,No
24,Travel_Frequently,2886,3,8658,Research & Development,7,3,Life Sciences,1,647,1,Female,1,Laboratory Technician,Married,3,1,4,3,6,1,Yes,Yes
30,Travel_Frequently,2033,1,6099,Sales,12,4,Life Sciences,1,648,2,Male,1,Sales Representative,Married,3,1,2,4,1,0,No,Yes
34,Travel_Rarely,3622,4,10866,Research & Development,1,2,Life Sciences,1,649,2,Male,1,Research Scientist,Married,3,1,3,3,6,1,Yes,No
31,Travel_Rarely,4233,1,12699,Sales,13,4,Medical,1,650,2,Male,2,Sales Executive,Divorced,3,0,2,1,3,1,No,Yes
35,Travel_Rarely,3681,4,11043,Research & Development,25,2,Other,1,652,1,Male,2,Laboratory Technician,Single,3,0,3,3,3,0,No,No
31,Travel_Rarely,5460,4,21840,Sales,6,4,Medical,1,653,1,Male,2,Sales Executive,Divorced,4,2,4,4,7,5,No,No
27,Travel_Rarely,2187,3,6561,Research & Development,6,4,Medical,1,655,1,Female,1,Research Scientist,Divorced,3,2,5,2,5,0,No,No
37,Travel_Rarely,9602,3,28806,Sales,2,3,Marketing,1,656,4,Male,2,Sales Executive,Married,3,1,3,2,3,1,Yes,No
20,Travel_Rarely,2836,2,8508,Research & Development,1,3,Life Sciences,1,657,4,Female,1,Research Scientist,Single,3,0,0,4,1,0,No,No
42,Travel_Rarely,4089,4,12267,Research & Development,2,4,Life Sciences,1,659,3,Female,2,Healthcare Representative,Married,3,2,4,3,10,2,No,No
43,Travel_Rarely,16627,4,49881,Research & Development,6,4,Other,1,661,2,Male,4,Research Director,Divorced,3,1,3,2,1,0,Yes,No
38,Travel_Rarely,2619,1,7857,Research & Development,1,1,Life Sciences,1,662,3,Female,1,Research Scientist,Single,3,0,3,2,0,0,No,No
43,Travel_Frequently,5679,3,17037,Research & Development,9,5,Medical,1,663,4,Male,2,Laboratory Technician,Divorced,3,1,3,3,8,4,Yes,No
48,Travel_Rarely,15402,1,46206,Research & Development,1,4,Life Sciences,1,664,4,Female,4,Manager,Married,3,1,3,1,3,0,No,No
44,Travel_Rarely,5985,3,17955,Human Resources,1,4,Life Sciences,1,665,1,Female,2,Human Resources,Single,3,0,1,4,2,0,No,No
34,Travel_Rarely,2579,3,7737,Sales,14,3,Technical Degree,1,666,3,Female,1,Sales Representative,Divorced,3,2,3,3,8,0,Yes,No
27,Travel_Rarely,3041,1,9123,Sales,2,1,Marketing,1,667,3,Male,1,Sales Representative,Divorced,3,1,3,3,4,0,No,Yes
21,Travel_Rarely,3447,3,10341,Sales,22,1,Technical Degree,1,669,3,Male,1,Sales Representative,Single,3,0,2,3,3,1,No,No
44,Travel_Rarely,19513,4,58539,Research & Development,3,4,Other,1,671,4,Male,5,Manager,Married,3,1,2,4,2,0,Yes,No
22,Travel_Rarely,2773,3,11092,Research & Development,6,1,Medical,1,675,1,Male,1,Research Scientist,Married,4,0,3,3,2,2,No,No
33,Travel_Rarely,7104,3,21312,Sales,8,4,Marketing,1,677,3,Male,2,Sales Executive,Divorced,3,0,3,3,5,1,No,No
32,Travel_Rarely,6322,4,18966,Research & Development,9,4,Life Sciences,1,679,1,Female,2,Research Scientist,Married,3,1,2,2,6,0,Yes,No
30,Travel_Frequently,2083,3,8332,Research & Development,3,3,Medical,1,680,3,Female,1,Research Scientist,Divorced,4,1,2,3,1,0,No,No
53,Travel_Rarely,8381,1,33524,Sales,1,1,Medical,1,682,4,Female,2,Sales Executive,Single,4,0,2,4,14,8,No,No
34,Travel_Rarely,2691,4,8073,Research & Development,1,5,Life Sciences,1,683,2,Male,1,Research Scientist,Married,3,1,4,2,10,8,No,No
45,Travel_Frequently,4286,1,12858,Sales,26,4,Life Sciences,1,684,1,Female,2,Sales Executive,Married,3,2,4,3,1,0,No,Yes
26,Travel_Rarely,2659,4,7977,Research & Development,6,3,Life Sciences,1,686,3,Female,1,Laboratory Technician,Married,3,1,2,3,3,0,Yes,No
37,Travel_Rarely,9434,3,28302,Research & Development,3,3,Other,1,689,3,Male,3,Manufacturing Director,Married,3,1,2,3,10,7,No,No
29,Travel_Rarely,5561,3,16683,Sales,3,2,Medical,1,690,2,Female,2,Sales Executive,Married,3,1,5,2,6,1,No,No
35,Travel_Rarely,6646,4,19938,Research & Development,6,4,Life Sciences,1,691,2,Male,2,Research Scientist,Single,3,0,3,3,17,11,No,No
33,Travel_Frequently,7725,4,30900,Research & Development,6,3,Life Sciences,1,692,3,Male,2,Healthcare Representative,Divorced,4,1,2,1,13,4,No,No
54,Travel_Rarely,10725,2,32175,Human Resources,19,4,Medical,1,698,3,Male,3,Human Resources,Married,3,1,1,4,9,7,No,No
36,Travel_Rarely,8847,2,26541,Research & Development,9,2,Medical,1,699,2,Male,2,Manufacturing Director,Divorced,3,1,2,3,3,0,Yes,No
27,Travel_Rarely,2045,4,6135,Research & Development,3,4,Medical,1,700,1,Male,1,Research Scientist,Single,3,0,0,3,4,1,No,No
20,Travel_Rarely,1009,3,3027,Research & Development,10,1,Medical,1,701,4,Male,1,Research Scientist,Single,3,0,5,3,1,1,Yes,Yes
33,Travel_Frequently,3348,1,10044,Research & Development,3,3,Life Sciences,1,702,1,Male,1,Research Scientist,Single,3,0,3,3,10,9,Yes,Yes
35,Non-Travel,1281,3,3843,Research & Development,3,3,Life Sciences,1,704,3,Male,1,Laboratory Technician,Married,3,2,3,3,1,0,No,No
23,Travel_Rarely,2819,1,8457,Research & Development,4,3,Medical,1,705,1,Male,1,Research Scientist,Married,3,1,3,4,3,0,No,No
25,Travel_Rarely,4851,2,19404,Sales,8,3,Life Sciences,1,707,4,Male,2,Sales Executive,Married,4,1,4,3,3,1,No,No
38,Travel_Rarely,4028,4,16112,Sales,7,4,Marketing,1,709,4,Female,2,Sales Executive,Single,4,0,2,3,7,0,No,No
29,Travel_Frequently,2720,4,8160,Research & Development,1,4,Life Sciences,1,710,2,Male,1,Research Scientist,Divorced,3,1,5,3,10,2,No,No
48,Travel_Rarely,8120,2,24360,Sales,2,1,Marketing,1,712,2,Male,2,Sales Executive,Married,3,0,3,3,2,2,No,No
27,Travel_Frequently,4647,4,18588,Sales,3,1,Medical,1,714,4,Female,2,Sales Executive,Divorced,4,2,3,3,6,0,Yes,No
37,Travel_Rarely,4680,4,14040,Research & Development,10,2,Life Sciences,1,715,4,Male,1,Research Scientist,Single,3,0,2,3,1,0,No,No
50,Travel_Rarely,3221,3,9663,Research & Development,28,1,Medical,1,716,4,Male,1,Laboratory Technician,Married,3,3,3,3,20,3,Yes,No
34,Travel_Rarely,8621,2,25863,Research & Development,9,3,Medical,1,717,4,Female,3,Healthcare Representative,Single,3,0,3,4,8,7,No,No
24,Travel_Rarely,4577,3,13731,Sales,3,2,Life Sciences,1,720,1,Female,2,Sales Executive,Single,3,0,3,3,2,2,No,Yes
39,Travel_Rarely,4553,3,13659,Research & Development,2,4,Technical Degree,1,721,4,Female,2,Healthcare Representative,Single,3,0,4,3,20,11,No,No
32,Travel_Rarely,5396,4,16188,Sales,10,3,Marketing,1,722,4,Male,2,Sales Executive,Single,3,0,2,2,10,0,No,No
50,Travel_Frequently,6796,3,20388,Sales,8,2,Technical Degree,1,723,2,Male,2,Sales Executive,Married,3,1,4,3,4,1,Yes,Yes
38,Travel_Rarely,7625,4,22875,Research & Development,1,4,Life Sciences,1,724,2,Female,2,Healthcare Representative,Single,3,0,4,2,9,1,No,No
27,Travel_Rarely,7412,1,22236,Research & Development,1,2,Life Sciences,1,725,3,Female,3,Manufacturing Director,Married,3,0,3,3,9,0,No,No
32,Travel_Rarely,11159,4,33477,Research & Development,3,2,Life Sciences,1,727,3,Female,3,Research Director,Single,3,0,6,3,7,7,No,No
47,Travel_Rarely,4960,1,14880,Sales,14,4,Marketing,1,728,4,Male,2,Sales Executive,Single,3,0,2,3,7,1,No,No
40,Travel_Frequently,10475,1,41900,Sales,5,4,Life Sciences,1,729,4,Male,3,Sales Executive,Married,4,1,2,3,18,1,Yes,No
53,Travel_Rarely,14814,3,44442,Research & Development,7,3,Life Sciences,1,730,3,Male,4,Research Director,Married,3,0,3,3,5,1,No,No
41,Travel_Rarely,19141,4,57423,Human Resources,10,4,Human Resources,1,731,2,Male,5,Manager,Divorced,3,3,2,2,21,12,No,No
60,Travel_Rarely,5405,1,16215,Sales,16,4,Marketing,1,732,1,Male,2,Sales Executive,Single,3,0,1,3,2,2,No,No
27,Travel_Frequently,8793,1,35172,Research & Development,10,2,Life Sciences,1,733,4,Male,3,Manufacturing Director,Divorced,4,2,4,2,9,1,No,No
41,Travel_Rarely,19189,3,57567,Human Resources,1,3,Human Resources,1,734,4,Male,5,Manager,Married,3,1,3,3,22,2,No,No
50,Travel_Rarely,3875,2,11625,Sales,8,4,Marketing,1,738,4,Male,1,Sales Representative,Married,3,1,2,3,2,2,No,No
28,Travel_Rarely,2216,2,6648,Research & Development,1,2,Life Sciences,1,741,1,Female,1,Research Scientist,Single,3,0,4,3,7,3,Yes,Yes
36,Non-Travel,11713,1,35139,Research & Development,8,3,Life Sciences,1,742,1,Female,3,Research Director,Married,3,1,2,3,8,0,No,No
38,Travel_Rarely,7861,3,23583,Research & Development,1,3,Life Sciences,1,743,3,Female,3,Manufacturing Director,Single,3,0,4,4,1,0,Yes,No
44,Non-Travel,3708,3,11124,Research & Development,24,3,Medical,1,744,1,Male,1,Laboratory Technician,Single,3,0,5,3,5,1,No,No
47,Travel_Frequently,13770,3,41310,Sales,3,3,Medical,1,746,4,Female,4,Sales Executive,Divorced,3,2,2,2,22,11,Yes,No
30,Travel_Rarely,5304,4,21216,Sales,27,5,Marketing,1,747,3,Male,2,Sales Executive,Divorced,4,1,2,2,8,7,No,No
29,Travel_Rarely,2642,3,7926,Sales,10,3,Life Sciences,1,749,3,Male,1,Sales Representative,Single,3,0,6,3,1,0,No,No
42,Travel_Frequently,2759,3,8277,Research & Development,19,3,Medical,1,752,3,Male,1,Research Scientist,Divorced,3,0,2,3,2,2,Yes,Yes
43,Travel_Frequently,6804,4,20412,Sales,15,3,Life Sciences,1,754,4,Male,2,Sales Executive,Married,3,1,5,3,2,2,No,No
34,Travel_Rarely,6142,3,18426,Research & Development,8,2,Medical,1,757,2,Female,2,Healthcare Representative,Single,3,0,2,3,5,4,No,No
23,Travel_Rarely,2500,1,7500,Research & Development,9,1,Medical,1,758,2,Male,1,Laboratory Technician,Married,3,1,2,4,4,0,No,No
39,Travel_Rarely,6389,2,19167,Human Resources,3,3,Human Resources,1,760,3,Female,2,Human Resources,Married,3,1,3,1,8,3,No,No
56,Travel_Rarely,11103,4,33309,Research & Development,9,3,Medical,1,762,3,Male,4,Healthcare Representative,Married,3,0,1,2,10,1,No,No
40,Travel_Rarely,2342,4,9368,Research & Development,2,1,Medical,1,763,4,Female,1,Research Scientist,Single,4,0,2,2,4,2,Yes,No
27,Travel_Rarely,6811,1,20433,Research & Development,7,3,Medical,1,764,4,Female,2,Healthcare Representative,Single,3,0,2,1,7,0,No,No
29,Travel_Rarely,2297,2,6891,Sales,10,3,Marketing,1,766,4,Male,1,Sales Representative,Divorced,3,2,2,3,2,2,No,No
53,Travel_Rarely,2450,4,7350,Research & Development,6,3,Life Sciences,1,769,4,Male,2,Laboratory Technician,Single,3,0,4,3,2,2,No,No
35,Non-Travel,5093,1,15279,Research & Development,2,4,Life Sciences,1,771,4,Female,2,Healthcare Representative,Divorced,3,1,2,4,1,0,No,No
32,Travel_Frequently,5309,4,15927,Research & Development,24,4,Life Sciences,1,772,1,Male,2,Laboratory Technician,Married,3,2,2,3,10,4,No,No
